"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"AUSTRIA","Raiffeisenbank Gleinstaetten-Leutschach eGen","Gleinstaetten 168","Gleinstaetten","RZSTAT2G102","2008-01-28",""
"AUSTRIA","Raiffeisenbank Golling-Scheffau-Kellau eGen","Markt 45","Golling","RVSAAT2S017","2008-01-28",""
"AUSTRIA","Raiffeisenbank Grafenstein-Magdalensberg und Umgebung reg.Gen.m.b.H.","Klopeiner Strasse 4","Grafenstein","RZKTAT2K320","2008-01-28",""
"AUSTRIA","Raiffeisenbank Gramastetten-Herzogsdorf eGen","Marktstrasse 41","Gramastetten","RZOOAT2L135","2009-10-05",""
"AUSTRIA","Raiffeisenbank Gratkorn eGen","Grazer Strasse 5","Gratkorn","RZSTAT2G111","2008-01-28",""
"AUSTRIA","Raiffeisenbank Gratwein eGen","Bahnhofstrasse 22","Gratwein","RZSTAT2G112","2008-01-28",""
"AUSTRIA","Raiffeisenbank Graz-Andritz eGen","Grazerstrasse 62","Graz-Andritz","RZSTAT2G377","2008-01-28",""
"AUSTRIA","Raiffeisenbank Graz-Mariatrost eGen","Mariatrosterstrasse 255","Graz-Mariatrost","RZSTAT2G223","2008-01-28",""
"AUSTRIA","Raiffeisenbank Graz-St.Peter eGen","St. Peter-Hauptstrasse 55","Graz-St.Peter","RZSTAT2G367","2008-01-28",""
"AUSTRIA","Raiffeisenbank Graz-Strassgang eGen","Kaerntner Strasse 394","Graz-Strassgang","RZSTAT2G439","2008-01-28",""
"AUSTRIA","Raiffeisenbank Grein eGen","Hauptstrasse 25","Grein","RZOOAT2L068","2008-01-28",""
"AUSTRIA","Raiffeisenbank Groedig eGen","Hauptstrasse 28","Groedig","RVSAAT2S018","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK GROSS GERUNGS eGen","47, HAUPTPLATZ","GROSSGERUNGS","RLNWATW1589","2008-01-28",""
"AUSTRIA","Raiffeisenbank Gross St.Florian-Wettmannstaetten eGen","Marktstrasse 3","Gross St. Florian","RZSTAT2G118","2008-01-28",""
"AUSTRIA","Raiffeisenbank Grossarl-Huettschlag eGen","Grossarl 90","Grossarl","RVSAAT2S019","2008-01-28",""
"AUSTRIA","Raiffeisenbank Grossgmain eGen","Salzburger Str. 53","Grossgmain","RVSAAT2S020","2008-01-28",""
"AUSTRIA","Raiffeisenbank Grosswilfersdorf eGen","Grosswilfersdorf 200","Grosswilfersdorf","RZSTAT2G122","2008-01-28",""
"AUSTRIA","Raiffeisenbank Gruenau-St. Konrad-Scharnstein eGen","Im Dorf 15","Gruenau im Almtal","RZOOAT2L127","2008-01-28",""
